model_name,group,feature_block,mechanism_consistent,best_params,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,mcc,log_loss,brier,tn,fp,fn,tp,threshold
middle_late__svc__linear,two_stage_raw,middle_late,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.7183098591549296,0.7206349206349206,0.8857142857142857,0.5555555555555556,0.6595744680851063,0.7560975609756098,0.8031746031746032,0.816190563515163,0.4663746855186089,0.7332305588335127,0.2155837033883797,20,16,4,31,0.5
middle__lr__elasticnet,single_stage_middle_moderate,middle,False,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.75}",0.7183098591549296,0.7202380952380952,0.8571428571428571,0.5833333333333334,0.6666666666666666,0.75,0.7817460317460317,0.739326557514581,0.4571037452743458,0.6235724138408989,0.2032326221139188,21,15,5,30,0.5
early_late__svc__poly3,two_stage_raw,early_late,False,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7183098591549296,0.71984126984127,0.8285714285714286,0.6111111111111112,0.6744186046511628,0.7435897435897436,0.7515873015873016,0.726168528425947,0.4497915048412408,0.5867208488596973,0.200286424288958,22,14,6,29,0.5
middle_late_scale__svc__sigmoid,sequential_scale,middle_late_scale,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.7183098591549296,0.7194444444444444,0.8,0.6388888888888888,0.6829268292682927,0.7368421052631579,0.8043650793650794,0.7536504867774347,0.4442089484494493,0.7523527945038051,0.1947682501659495,23,13,7,28,0.5
early__svc__rbf,single_stage_early_mild,early,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",0.7183098591549296,0.7194444444444444,0.8,0.6388888888888888,0.6829268292682927,0.7368421052631579,0.7698412698412698,0.7450738279352974,0.4442089484494493,0.5754990217207363,0.1916589172958714,23,13,7,28,0.5
early_late__svc__rbf,two_stage_raw,early_late,False,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}",0.7183098591549296,0.7186507936507937,0.7428571428571429,0.6944444444444444,0.7027027027027027,0.7222222222222222,0.7690476190476191,0.7449240547070569,0.4376490657730219,0.5818344586941853,0.1945813672959258,25,11,9,26,0.5
middle__svc__sigmoid,single_stage_middle_moderate,middle,False,"{""clf__C"": 3.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.704225352112676,0.7067460317460317,0.8857142857142857,0.5277777777777778,0.6458333333333334,0.7469879518072289,0.7674603174603174,0.7496523374595403,0.4417412075592978,0.7948728204331506,0.2275745758459607,19,17,4,31,0.5
early__svc__poly3,single_stage_early_mild,early,False,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.704225352112676,0.705952380952381,0.8285714285714286,0.5833333333333334,0.6590909090909091,0.7341772151898734,0.7658730158730159,0.7240366435790658,0.4242031264008935,0.5754903234614092,0.1953560337155383,21,15,6,29,0.5
early_late__svc__poly2,two_stage_raw,early_late,False,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.704225352112676,0.7055555555555556,0.8,0.6111111111111112,0.6666666666666666,0.7272727272727273,0.736904761904762,0.6901339802107077,0.4181391605661664,0.6026412793219496,0.207107915924559,22,14,7,28,0.5
early_late__lr__l2,two_stage_raw,early_late,False,"{""clf__C"": 0.03, ""clf__class_weight"": null}",0.704225352112676,0.7047619047619047,0.7428571428571429,0.6666666666666666,0.6842105263157895,0.7123287671232876,0.7595238095238095,0.7208449925264319,0.4105023624351279,0.584797422261236,0.1994923847835482,24,12,9,26,0.5
