model_name,metric,bootstrap_mean,ci_low,ci_high,n_boot
early_middle__lr__l2,roc_auc,0.8213015873015873,0.7179960317460318,0.90875,200
early_middle__lr__l2,pr_auc,0.8225184473808526,0.7207413968693891,0.908975775938213,200
early_middle__lr__l2,mcc,0.5908858719399206,0.3870867030283197,0.7626239290456744,200
early_middle__lr__l1,accuracy,0.7423239436619719,0.6197183098591549,0.8450704225352113,200
early_middle__lr__l1,balanced_accuracy,0.7443015873015874,0.6222123015873016,0.8452678571428571,200
early_middle__lr__l1,sensitivity,0.8847142857142859,0.7428571428571429,0.9714285714285714,200
early_middle__lr__l1,specificity,0.6038888888888888,0.4444444444444444,0.7506944444444446,200
early_middle__lr__l1,f1,0.772233061574091,0.6666666666666666,0.8501785714285715,200
early_middle__lr__l1,roc_auc,0.8037182539682539,0.7031547619047619,0.8993055555555555,200
early_middle__lr__l1,pr_auc,0.7980516700343085,0.6799562571192893,0.9029562345967161,200
early_middle__lr__l1,mcc,0.5103897278558682,0.26099184095908307,0.6913514008858433,200
early_middle__lr__elasticnet,accuracy,0.7286619718309859,0.6056338028169014,0.8309859154929577,200
early_middle__lr__elasticnet,balanced_accuracy,0.7304444444444446,0.6083234126984127,0.8325396825396825,200
early_middle__lr__elasticnet,sensitivity,0.8570000000000002,0.7142857142857143,0.9435714285714287,200
early_middle__lr__elasticnet,specificity,0.6038888888888888,0.4444444444444444,0.7506944444444446,200
early_middle__lr__elasticnet,f1,0.7571188417012471,0.6582278481012658,0.8461538461538461,200
early_middle__lr__elasticnet,roc_auc,0.813095238095238,0.7094444444444443,0.9032142857142856,200
early_middle__lr__elasticnet,pr_auc,0.8200847582626196,0.7242259105989947,0.9056802859168723,200
early_middle__lr__elasticnet,mcc,0.4777914342536134,0.23409150985362373,0.6803705434241152,200
early_middle__svc__linear,accuracy,0.7310563380281689,0.6193661971830986,0.8169014084507042,200
early_middle__svc__linear,balanced_accuracy,0.7331904761904761,0.6206845238095239,0.8186607142857143,200
early_middle__svc__linear,sensitivity,0.8847142857142859,0.7428571428571429,0.9714285714285714,200
early_middle__svc__linear,specificity,0.5816666666666667,0.4166666666666667,0.7506944444444446,200
