model_name,severity_group,n,accuracy,mean_p_ad,false_positive,false_negative
late__lr__l2,middle,14,0.2857142857142857,0.5005568822199945,0,10
late__svc__linear,AD_high_MMSE,8,0.75,0.49626309626708387,0,2
late__svc__linear,control,36,0.25,0.5042214188959785,27,0
late__svc__linear,early,6,1.0,0.5271726557334051,0,0
late__svc__linear,late,7,1.0,0.5384908963774876,0,0
late__svc__linear,middle,14,0.7142857142857143,0.5207373821823619,0,4
late__svc__poly2,AD_high_MMSE,8,0.75,0.465440904045783,0,2
late__svc__poly2,control,36,0.25,0.466524368398349,27,0
late__svc__poly2,early,6,1.0,0.5677652414385622,0,0
late__svc__poly2,late,7,1.0,0.5728912049594791,0,0
late__svc__poly2,middle,14,0.7142857142857143,0.48850191580698704,0,4
late__svc__poly3,AD_high_MMSE,8,0.75,0.4909233060492023,0,2
late__svc__poly3,control,36,0.25,0.48560974184768857,27,0
late__svc__poly3,early,6,1.0,0.5638376888912474,0,0
late__svc__poly3,late,7,1.0,0.5672695844345934,0,0
late__svc__poly3,middle,14,0.7857142857142857,0.49603796594212335,0,3
late__svc__rbf,AD_high_MMSE,8,0.75,0.5073372365418682,0,2
late__svc__rbf,control,36,0.25,0.5111729655635653,27,0
late__svc__rbf,early,6,1.0,0.5577882792096138,0,0
late__svc__rbf,late,7,1.0,0.5693395401677529,0,0
late__svc__rbf,middle,14,0.7857142857142857,0.5128785618921528,0,3
late__svc__sigmoid,AD_high_MMSE,8,0.125,0.4939866378574013,0,7
late__svc__sigmoid,control,36,0.7777777777777778,0.49929671244475976,8,0
late__svc__sigmoid,early,6,0.5,0.5056513821161296,0,3
late__svc__sigmoid,late,7,0.2857142857142857,0.5117427220772272,0,5
late__svc__sigmoid,middle,14,0.2857142857142857,0.5080356297864482,0,10
middle__lr__elasticnet,AD_high_MMSE,8,0.875,0.770487335766057,0,1
middle__lr__elasticnet,control,36,0.5833333333333334,0.49313817562656465,15,0
middle__lr__elasticnet,early,6,0.8333333333333334,0.7088113766592586,0,1
middle__lr__elasticnet,late,7,0.8571428571428571,0.8328230546451136,0,1
middle__lr__elasticnet,middle,14,0.8571428571428571,0.7237469071537369,0,2
middle__lr__l1,AD_high_MMSE,8,0.75,0.8391248162937512,0,2
