model_name,group,feature_block,mechanism_consistent,best_cv_score_grid,best_params,fit_seconds,cv_accuracy,cv_balanced_accuracy,cv_sensitivity,cv_specificity,cv_precision,cv_f1,cv_roc_auc,cv_pr_auc,cv_mcc,cv_log_loss,cv_brier,cv_tn,cv_fp,cv_fn,cv_tp,cv_threshold,cv_repeated_oof_available
middle__lr__l1,single_stage_middle_moderate,middle,False,0.8593582887700534,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}",1.461409330368042,0.8734939759036144,0.876400407391241,0.8160919540229885,0.9367088607594937,0.9342105263157895,0.8711656441717791,0.9390368107085697,0.9541506557762515,0.7546145966170861,0.34551009525260734,0.09940654028086178,74,5,16,71,0.5,True
middle_late__lr__l1,two_stage_raw,middle_late,False,0.855377302436126,"{""clf__C"": 1.0, ""clf__class_weight"": null}",1.1635284423828125,0.8734939759036144,0.875818419903972,0.8275862068965517,0.9240506329113924,0.9230769230769231,0.8727272727272727,0.9390368107085698,0.9541447243190618,0.7521294472927018,0.34611276478847186,0.09855113393377471,73,6,15,72,0.5,True
early_middle_scale__svc__sigmoid,sequential_scale,early_middle_scale,False,0.8695781342840168,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",2.506544589996338,0.8734939759036144,0.874072457442165,0.8620689655172413,0.8860759493670886,0.8928571428571429,0.8771929824561403,0.9515495416848538,0.954165640657215,0.7473298531815341,0.2965453845011041,0.09041524733319463,70,9,12,75,0.5,True
middle__svc__sigmoid,single_stage_middle_moderate,middle,False,0.8656565656565655,"{""clf__C"": 3.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",1.9083077907562256,0.8734939759036144,0.872908482467627,0.8850574712643678,0.8607594936708861,0.875,0.88,0.9493670886075949,0.9587156552345535,0.7463057581924873,0.29786496700244214,0.09191953565151839,68,11,10,77,0.5,True
early_middle__svc__poly2,two_stage_raw,early_middle,False,0.8896019013666071,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",2.267382860183716,0.8734939759036144,0.872908482467627,0.8850574712643678,0.8607594936708861,0.875,0.88,0.966972210097483,0.9719941290862208,0.7463057581924873,0.247524812733542,0.07646762820225923,68,11,10,77,0.5,True
all__lr__l1,three_stage_raw,all,False,0.861437908496732,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}",1.0031342506408691,0.8674698795180723,0.8706532809544595,0.8045977011494253,0.9367088607594937,0.9333333333333333,0.8641975308641975,0.9471846355303362,0.9581156476151503,0.7439087868902963,0.3056309657106638,0.09107426798364279,74,5,17,70,0.5,True
all__lr__elasticnet,three_stage_raw,all,False,0.8775401069518716,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.25}",113.57799243927002,0.8674698795180723,0.8683253310053833,0.8505747126436781,0.8860759493670886,0.891566265060241,0.8705882352941177,0.9644987632765896,0.9708568637372775,0.7357947132400513,0.2435499445383735,0.07624716269621767,70,9,13,74,0.5,True
all_plus_interactions__svc__poly2,three_stage_full_interaction,all_plus_interactions,False,0.8655377302436127,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",4.3711934089660645,0.8674698795180723,0.8677433435181143,0.8620689655172413,0.8734177215189873,0.8823529411764706,0.872093023255814,0.9541684853775645,0.9605975501061959,0.7348454605088888,0.2891893360140987,0.09011776304008548,69,10,12,75,0.5,True
all_plus_interactions__svc__sigmoid,three_stage_full_interaction,all_plus_interactions,False,0.8616161616161615,"{""clf__C"": 3.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",4.010321617126465,0.8674698795180723,0.8665793685435763,0.8850574712643678,0.8481012658227848,0.8651685393258427,0.875,0.9467481449148843,0.9364744138588178,0.7342277938478918,0.3134789898722838,0.09185438856592987,67,12,10,77,0.5,True
all_plus_interactions__svc__poly3,three_stage_full_interaction,all_plus_interactions,False,0.855377302436126,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",4.252295255661011,0.8614457831325302,0.8614142295940637,0.8620689655172413,0.8607594936708861,0.872093023255814,0.8670520231213873,0.9423832387603667,0.9513011230520041,0.7224606476414455,0.3137748608368705,0.09883741999057814,68,11,12,75,0.5,True
early_middle__svc__rbf,two_stage_raw,early_middle,False,0.8454545454545455,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",2.2807092666625977,0.8614457831325302,0.8608322421067947,0.8735632183908046,0.8481012658227848,0.8636363636363636,0.8685714285714285,0.9386003200931179,0.945162711705308,0.7221374484265971,0.3211234559053762,0.10157324959412387,67,12,11,76,0.5,True
middle_late__svc__sigmoid,two_stage_raw,middle_late,False,0.8636363636363635,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",1.7150278091430664,0.8614457831325302,0.8608322421067947,0.8735632183908046,0.8481012658227848,0.8636363636363636,0.8685714285714285,0.9451476793248945,0.9562702378423986,0.7221374484265971,0.306423609303845,0.09488548189741654,67,12,11,76,0.5,True
all__svc__rbf,three_stage_raw,all,False,0.8474747474747474,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",2.0934805870056152,0.8614457831325302,0.8608322421067947,0.8735632183908046,0.8481012658227848,0.8636363636363636,0.8685714285714285,0.938600320093118,0.9451638729703374,0.7221374484265971,0.32009064305160734,0.10113835654034595,67,12,11,76,0.5,True
stage_score_three_stage__lr__l2,stage_score_interaction,all,True,0.8695781342840166,"{""base_C"": 0.1, ""class_weight"": ""balanced"", ""meta_C"": 0.1}",3.7523956298828125,0.8554216867469879,0.8585770405936273,0.7931034482758621,0.9240506329113924,0.92,0.8518518518518519,0.9528590135312092,0.9622253272646415,0.7196715231761079,0.31358558483023435,0.09326259360354842,73,6,18,69,0.5,True
stage_score_early_middle__lr__l2,stage_score_interaction,all,True,0.8675579322638146,"{""base_C"": 0.1, ""class_weight"": ""balanced"", ""meta_C"": 0.1}",3.7248973846435547,0.8554216867469879,0.8579950531063583,0.8045977011494253,0.9113924050632911,0.9090909090909091,0.8536585365853658,0.9516950385566711,0.9613511852862044,0.7170341285027736,0.32675190223906847,0.09621046328973669,72,7,17,70,0.5,True
early_middle_scale__svc__rbf,sequential_scale,early_middle_scale,False,0.84349376114082,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",2.481768846511841,0.8493975903614458,0.8487560017459624,0.8620689655172413,0.8354430379746836,0.8522727272727273,0.8571428571428571,0.9365633638876765,0.9425450317435139,0.697969138660707,0.32586586511449095,0.1035107771616888,66,13,12,75,0.5,True
middle__svc__rbf,single_stage_middle_moderate,middle,False,0.8415329768270946,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",2.0574488639831543,0.8493975903614458,0.8481740142586935,0.8735632183908046,0.8227848101265823,0.8444444444444444,0.8587570621468926,0.9316164702458898,0.9359186228002591,0.6980257942422448,0.33425751080170313,0.10556202145957362,65,14,11,76,0.5,True
middle_late_scale__svc__rbf,sequential_scale,middle_late_scale,False,0.847534165181224,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",4.553552627563477,0.8493975903614458,0.8475920267714244,0.8850574712643678,0.810126582278481,0.8369565217391305,0.8603351955307262,0.9176487705514331,0.9208187547225924,0.6984948363462884,0.36310488070650343,0.1154919936967402,64,15,10,77,0.5,True
middle_late__svc__rbf,two_stage_raw,middle_late,False,0.8496137849079025,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",1.9515461921691895,0.8373493975903614,0.8360977738978612,0.8620689655172413,0.810126582278481,0.8333333333333334,0.847457627118644,0.9324894514767933,0.9369477441338567,0.6738151210612559,0.3326072009053418,0.10487003887260576,64,15,12,75,0.5,True
all_plus_interactions__svc__rbf,three_stage_full_interaction,all_plus_interactions,False,0.8434343434343433,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",4.673722505569458,0.8373493975903614,0.8349337989233232,0.8850574712643678,0.7848101265822784,0.8191489361702128,0.850828729281768,0.9228866579368544,0.9299989156295658,0.6750438236021321,0.35204588221331273,0.11283975176350793,62,17,10,77,0.5,True
sequential_interactions__lr__elasticnet,sequential_scale,sequential_interactions,False,0.7812240047534165,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.25}",137.11530685424805,0.8012048192771084,0.8021970027644406,0.7816091954022989,0.8227848101265823,0.8292682926829268,0.8047337278106509,0.8494834861050486,0.8123395473998954,0.6037355523368519,0.6275694669556369,0.15825058256309635,65,14,19,68,0.5,True
sequential_interactions__lr__l2,sequential_scale,sequential_interactions,False,0.7934046345811051,"{""clf__C"": 0.1, ""clf__class_weight"": null}",1.4833612442016602,0.7771084337349398,0.7780445220427761,0.7586206896551724,0.7974683544303798,0.8048780487804879,0.7810650887573964,0.8580678015422668,0.8329002110532262,0.555483216425481,0.5476984225644168,0.15502487063273515,63,16,21,66,0.5,True
early__lr__l2,single_stage_early_mild,early,False,0.7569221628045157,"{""clf__C"": 0.03, ""clf__class_weight"": ""balanced""}",5.440284490585327,0.7771084337349398,0.7757165720937,0.8045977011494253,0.7468354430379747,0.7777777777777778,0.7909604519774012,0.8300596537174451,0.752019738074755,0.5527617551563117,0.5136478206231864,0.16485824787143347,59,20,17,70,0.5,True
early_middle__mlp__small,performance_anchor,early_middle,False,0.7635769459298871,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [16], ""clf__learning_rate_init"": 0.001}",1.833953857421875,0.7710843373493976,0.7734613705805325,0.7241379310344828,0.8227848101265823,0.8181818181818182,0.7682926829268293,0.8677433435181143,0.8830645119052193,0.5477202375618626,0.46314970309629705,0.1488979248143238,65,14,24,63,0.5,True
early__svc__rbf,single_stage_early_mild,early,False,0.7670825906120022,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",0.5503299236297607,0.7710843373493976,0.7688054706823804,0.8160919540229885,0.7215189873417721,0.7634408602150538,0.7888888888888889,0.8326785974101556,0.7946710622599005,0.5409266349911894,0.493662477594481,0.160811005101429,57,22,16,71,0.5,True
