model_name,metric,bootstrap_mean,ci_low,ci_high,n_boot
late__lr__elasticnet,balanced_accuracy,0.6298988095238095,0.5199305555555556,0.7467559523809525,200
late__lr__elasticnet,sensitivity,0.6277142857142857,0.45714285714285713,0.7721428571428574,200
late__lr__elasticnet,specificity,0.6320833333333333,0.4722222222222222,0.8055555555555556,200
late__lr__elasticnet,f1,0.6244712273032409,0.5,0.7462786069651742,200
late__lr__elasticnet,roc_auc,0.6254503968253968,0.5022519841269841,0.7782837301587303,200
late__lr__elasticnet,pr_auc,0.5995318045070813,0.49036582833816483,0.7433238359443861,200
late__lr__elasticnet,mcc,0.26154071322420086,0.04018128582171979,0.493594077476857,200
late__svc__linear,accuracy,0.6600704225352112,0.5489436619718311,0.7609154929577465,200
late__svc__linear,balanced_accuracy,0.6580575396825397,0.5457142857142858,0.7602281746031746,200
late__svc__linear,sensitivity,0.515142857142857,0.34285714285714286,0.6857142857142857,200
late__svc__linear,specificity,0.8009722222222223,0.6666666666666666,0.9166666666666666,200
late__svc__linear,f1,0.5964156344413649,0.43636363636363634,0.7354601518026567,200
late__svc__linear,roc_auc,0.6694067460317461,0.5406646825396825,0.815436507936508,200
late__svc__linear,pr_auc,0.6999916015616198,0.5766577734955174,0.8388911745835382,200
late__svc__linear,mcc,0.33215775585668084,0.09750520768391276,0.5625883784573473,200
late__svc__poly2,accuracy,0.5898591549295774,0.47852112676056335,0.704225352112676,200
late__svc__poly2,balanced_accuracy,0.5904007936507937,0.4782440476190476,0.705952380952381,200
late__svc__poly2,sensitivity,0.6288571428571429,0.45714285714285713,0.7721428571428574,200
late__svc__poly2,specificity,0.5519444444444445,0.3888888888888889,0.7222222222222222,200
late__svc__poly2,f1,0.6007955061607948,0.47731547740748315,0.7201818181818181,200
late__svc__poly2,roc_auc,0.6368075396825397,0.5082043650793651,0.7496428571428572,200
late__svc__poly2,pr_auc,0.6607824529182423,0.5267569003734183,0.764397534464839,200
late__svc__poly2,mcc,0.1824993090822815,-0.04355338669809448,0.4242031264008935,200
late__svc__poly3,accuracy,0.6192957746478873,0.5066901408450705,0.7327464788732395,200
late__svc__poly3,balanced_accuracy,0.6206210317460318,0.5075793650793651,0.7325099206349208,200
late__svc__poly3,sensitivity,0.7147142857142856,0.5714285714285714,0.8571428571428571,200
late__svc__poly3,specificity,0.5265277777777778,0.3611111111111111,0.6944444444444444,200
