model_name,severity_group,n,accuracy,mean_p_ad,false_negatives,false_positives
middle__lr__l2,control,36,0.6666666666666666,0.3977512803632736,0,12
middle__lr__l2,early,6,0.8333333333333334,0.7567374690028,1,0
middle__lr__l2,late,7,0.8571428571428571,0.8660075054134749,1,0
middle__lr__l2,middle,14,0.8571428571428571,0.7326684549457323,2,0
middle__svc__linear,AD_high_MMSE,8,0.875,0.8749148470649166,1,0
middle__svc__linear,control,36,0.5,0.4836437572335865,0,18
middle__svc__linear,early,6,0.8333333333333334,0.797700694068085,1,0
middle__svc__linear,late,7,0.8571428571428571,0.8988924296253407,1,0
middle__svc__linear,middle,14,0.8571428571428571,0.7622059912857723,2,0
middle__svc__poly2,AD_high_MMSE,8,1.0,0.8305639150688059,0,0
middle__svc__poly2,control,36,0.6388888888888888,0.4241792509104796,0,13
middle__svc__poly2,early,6,0.8333333333333334,0.7838221896275491,1,0
middle__svc__poly2,late,7,0.8571428571428571,0.902421332408034,1,0
middle__svc__poly2,middle,14,0.9285714285714286,0.8050972386242109,1,0
middle__svc__poly3,AD_high_MMSE,8,0.875,0.808619393794629,1,0
middle__svc__poly3,control,36,0.7222222222222222,0.40184426682797186,0,10
middle__svc__poly3,early,6,0.8333333333333334,0.7369692909566884,1,0
middle__svc__poly3,late,7,0.8571428571428571,0.9056608420345664,1,0
middle__svc__poly3,middle,14,0.9285714285714286,0.8166796743535905,1,0
middle__svc__rbf,AD_high_MMSE,8,0.875,0.7790242326650866,1,0
middle__svc__rbf,control,36,0.6944444444444444,0.4064245159715411,0,11
middle__svc__rbf,early,6,0.8333333333333334,0.7207714617846191,1,0
middle__svc__rbf,late,7,1.0,0.9167207357434263,0,0
middle__svc__rbf,middle,14,0.8571428571428571,0.7718600135173002,2,0
middle__svc__sigmoid,AD_high_MMSE,8,0.75,0.7772935058233251,2,0
middle__svc__sigmoid,control,36,0.6111111111111112,0.44459508474000753,0,14
middle__svc__sigmoid,early,6,0.8333333333333334,0.8048593233581561,1,0
middle__svc__sigmoid,late,7,0.8571428571428571,0.8831720471464355,1,0
middle__svc__sigmoid,middle,14,0.9285714285714286,0.7813178730028926,1,0
middle_late__lr__elasticnet,AD_high_MMSE,8,0.75,0.7778646054177873,2,0
middle_late__lr__elasticnet,control,36,0.5555555555555556,0.43679900747908834,0,16
middle_late__lr__elasticnet,early,6,0.8333333333333334,0.7923315538847997,1,0
middle_late__lr__elasticnet,late,7,0.8571428571428571,0.9198923068376507,1,0
middle_late__lr__elasticnet,middle,14,0.7857142857142857,0.7693120396032603,3,0
middle_late__lr__l1,AD_high_MMSE,8,0.75,0.7152687605610325,2,0
middle_late__lr__l1,control,36,0.6111111111111112,0.46411217137466537,0,14
middle_late__lr__l1,early,6,0.8333333333333334,0.7008216965836124,1,0
middle_late__lr__l1,late,7,0.8571428571428571,0.7787460774928937,1,0
middle_late__lr__l1,middle,14,0.7142857142857143,0.6591786606662542,4,0
middle_late__lr__l2,AD_high_MMSE,8,0.75,0.766669549247838,2,0
middle_late__lr__l2,control,36,0.6666666666666666,0.39493038246003426,0,12
middle_late__lr__l2,early,6,0.8333333333333334,0.7582646424588512,1,0
middle_late__lr__l2,late,7,0.8571428571428571,0.8656347052274709,1,0
middle_late__lr__l2,middle,14,0.8571428571428571,0.7282948510717479,2,0
middle_late__svc__linear,AD_high_MMSE,8,0.875,0.8711582313203265,1,0
middle_late__svc__linear,control,36,0.5277777777777778,0.4817594198129844,0,17
middle_late__svc__linear,early,6,0.8333333333333334,0.7965224564555804,1,0
middle_late__svc__linear,late,7,0.8571428571428571,0.8985757422363447,1,0
middle_late__svc__linear,middle,14,0.8571428571428571,0.7569907498075651,2,0
middle_late__svc__poly2,AD_high_MMSE,8,1.0,0.8294574949008026,0,0
middle_late__svc__poly2,control,36,0.6388888888888888,0.42048789914394485,0,13
middle_late__svc__poly2,early,6,0.8333333333333334,0.7868556329245827,1,0
middle_late__svc__poly2,late,7,0.8571428571428571,0.898849975067275,1,0
middle_late__svc__poly2,middle,14,0.9285714285714286,0.8019480727110343,1,0
middle_late__svc__poly3,AD_high_MMSE,8,0.875,0.8078692772480449,1,0
middle_late__svc__poly3,control,36,0.6944444444444444,0.39982808844611184,0,11
middle_late__svc__poly3,early,6,0.8333333333333334,0.7421097049860297,1,0
middle_late__svc__poly3,late,7,0.8571428571428571,0.9028926875562744,1,0
middle_late__svc__poly3,middle,14,0.9285714285714286,0.8139532090473265,1,0
middle_late__svc__rbf,AD_high_MMSE,8,0.875,0.7791775312394555,1,0
middle_late__svc__rbf,control,36,0.6666666666666666,0.4045133633349838,0,12
middle_late__svc__rbf,early,6,0.8333333333333334,0.7213605910788082,1,0
middle_late__svc__rbf,late,7,1.0,0.9158369109106304,0,0
middle_late__svc__rbf,middle,14,0.8571428571428571,0.7699063009739049,2,0
middle_late__svc__sigmoid,AD_high_MMSE,8,0.75,0.774102589118582,2,0
middle_late__svc__sigmoid,control,36,0.5833333333333334,0.43882043254598607,0,15
middle_late__svc__sigmoid,early,6,0.8333333333333334,0.8026454583371404,1,0
middle_late__svc__sigmoid,late,7,0.8571428571428571,0.8833012394771383,1,0
middle_late__svc__sigmoid,middle,14,0.9285714285714286,0.7773561665975295,1,0
middle_late_scale__lr__elasticnet,AD_high_MMSE,8,0.875,0.7898523171097679,1,0
middle_late_scale__lr__elasticnet,control,36,0.6111111111111112,0.4674792485486464,0,14
middle_late_scale__lr__elasticnet,early,6,0.8333333333333334,0.7158065703934424,1,0
