model_name,group,feature_block,mechanism_consistent,best_cv_score_grid,best_params,fit_seconds,cv_accuracy,cv_balanced_accuracy,cv_sensitivity,cv_specificity,cv_precision,cv_f1,cv_roc_auc,cv_pr_auc,cv_mcc,cv_log_loss,cv_brier,cv_tn,cv_fp,cv_fn,cv_tp,cv_threshold,cv_repeated_oof_available
middle_late__svc__poly2,two_stage_raw,middle_late,False,0.8922794117647058,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",1.7042770385742188,0.8795180722891566,0.8792375963916776,0.8850574712643678,0.8734177215189873,0.8850574712643678,0.8850574712643678,0.9569329259420922,0.9630893392232273,0.7584751927833552,0.26677878482118395,0.08363948219661048,69,10,10,77,0.5,True
stage_score_early_middle__lr__l2,stage_score_interaction,all,True,0.8746323529411765,"{""base_C"": 1.0, ""class_weight"": null, ""meta_C"": 1.0}",3.411048173904419,0.8734939759036144,0.875818419903972,0.8275862068965517,0.9240506329113924,0.9230769230769231,0.8727272727272727,0.9461661574276152,0.9573966066625751,0.7521294472927018,0.30751586220555016,0.09273743873339481,73,6,15,72,0.5,True
stage_score_three_stage__lr__l2,stage_score_interaction,all,True,0.8746323529411765,"{""base_C"": 1.0, ""class_weight"": null, ""meta_C"": 0.1}",3.4211323261260986,0.8734939759036144,0.875818419903972,0.8275862068965517,0.9240506329113924,0.9230769230769231,0.8727272727272727,0.9420922450167322,0.9481215495499746,0.7521294472927018,0.33347776793056616,0.09748607914140289,73,6,15,72,0.5,True
early_middle__lr__l1,two_stage_raw,early_middle,False,0.8742647058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null}",0.9461121559143066,0.8734939759036144,0.875236432416703,0.8390804597701149,0.9113924050632911,0.9125,0.874251497005988,0.9455841699403463,0.9542535420231464,0.7500909864200032,0.3151977324353355,0.09153846224098308,72,7,14,73,0.5,True
all__lr__l1,three_stage_raw,all,False,0.8742647058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null}",1.3735806941986084,0.8734939759036144,0.875236432416703,0.8390804597701149,0.9113924050632911,0.9125,0.874251497005988,0.946602648043067,0.9544794917409689,0.7500909864200032,0.3134812765428366,0.09162356377179376,72,7,14,73,0.5,True
early_middle_scale__lr__l1,sequential_scale,early_middle_scale,False,0.8742647058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null}",1.320643424987793,0.8734939759036144,0.875236432416703,0.8390804597701149,0.9113924050632911,0.9125,0.874251497005988,0.945438673068529,0.9532215790236671,0.7500909864200032,0.3144832424931947,0.09202509680333974,72,7,14,73,0.5,True
sequential_interactions__lr__l2,sequential_scale,sequential_interactions,False,0.8746323529411765,"{""clf__C"": 1.0, ""clf__class_weight"": null}",1.9053199291229248,0.8734939759036144,0.874654444929434,0.8505747126436781,0.8987341772151899,0.9024390243902439,0.8757396449704142,0.9508220573257675,0.9529575870904327,0.7484925600709648,0.29052558563748315,0.08966716743168902,71,8,13,74,0.5,True
all_plus_interactions__svc__sigmoid,three_stage_full_interaction,all_plus_interactions,False,0.8680147058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",3.4999513626098633,0.8734939759036144,0.874654444929434,0.8505747126436781,0.8987341772151899,0.9024390243902439,0.8757396449704142,0.9512585479412193,0.9542308595468174,0.7484925600709648,0.2888020993538804,0.08976028975283332,71,8,13,74,0.5,True
middle_late__svc__sigmoid,two_stage_raw,middle_late,False,0.8805147058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",1.6853926181793213,0.8734939759036144,0.873490469954896,0.8735632183908046,0.8734177215189873,0.8837209302325582,0.8786127167630058,0.9409282700421941,0.9482002868314984,0.7466008383637642,0.3114829264563415,0.09807077712074164,69,10,11,76,0.5,True
all_plus_interactions__lr__elasticnet,three_stage_full_interaction,all_plus_interactions,False,0.8742647058823529,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.75}",330.58889412879944,0.8734939759036144,0.873490469954896,0.8735632183908046,0.8734177215189873,0.8837209302325582,0.8786127167630058,0.9566419321984578,0.9659256598581228,0.7466008383637642,0.26902165050821414,0.08432332987339937,69,10,11,76,0.5,True
